"Data","R.lowerCI","R.medio","R.upperCI","Consolidato"
2020-02-04,2.77390888957679,3.21222469002504,3.68222097593566,"Si"
2020-02-05,2.26565587655203,2.61178142378973,2.98215092254273,"Si"
2020-02-06,1.83462721905135,2.11490427115942,2.41481299540608,"Si"
2020-02-07,1.49342906763564,1.72671556964577,1.97668434400248,"Si"
2020-02-08,1.12040388357591,1.31118102485403,1.51673621774707,"Si"
2020-02-09,0.903763272134908,1.06905664473162,1.24802659902309,"Si"
2020-02-10,1.07068374172009,1.24607663930538,1.43457790116416,"Si"
2020-02-11,1.02301642134799,1.19112409396521,1.37183201936201,"Si"
2020-02-12,1.10928751333834,1.28110869514633,1.46512049676379,"Si"
2020-02-13,1.19108930448457,1.36559024808751,1.55184573187689,"Si"
2020-02-14,1.38522294736971,1.56877008918685,1.76357071573502,"Si"
2020-02-15,1.95884053153273,2.16935217643294,2.39045313673709,"Si"
2020-02-16,2.07182972491312,2.27644074847469,2.49054866989909,"Si"
2020-02-17,2.12605127674259,2.3195264112641,2.52130645111442,"Si"
2020-02-18,2.3151400571997,2.50228844908264,2.69660716448686,"Si"
2020-02-19,2.21335346561676,2.38177975418078,2.55629427675419,"Si"
2020-02-20,2.7790244164094,2.95250795437591,3.13116980781928,"Si"
2020-02-21,2.80727489633739,2.96503012989921,3.12703696696168,"Si"
2020-02-22,2.68626253545257,2.8251278074151,2.96744337472021,"Si"
2020-02-23,2.76637686459259,2.89342083982736,3.02327693506097,"Si"
2020-02-24,2.82854445380799,2.94419462698859,3.06212953630006,"Si"
2020-02-25,2.8894356004054,2.99446767477483,3.10134860989228,"Si"
2020-02-26,2.76585809815101,2.85803391570672,2.95169951953815,"Si"
2020-02-27,2.51405531768897,2.59317583692468,2.67350506219453,"Si"
2020-02-28,2.51572134816131,2.58760599438444,2.6604891424315,"Si"
2020-02-29,2.3670761327556,2.43061259308015,2.49497880003752,"Si"
2020-03-01,2.64113388058003,2.70262498708712,2.76481386492221,"Si"
2020-03-02,2.55074822597275,2.60578228635054,2.66139556605017,"Si"
2020-03-03,2.44046323540807,2.48954414349506,2.53910690745863,"Si"
2020-03-04,2.2697583535866,2.31308565679971,2.35681691158622,"Si"
2020-03-05,2.21161914318936,2.25103093497546,2.29078597045934,"Si"
2020-03-06,2.12977761515818,2.16557048471244,2.20165748431298,"Si"
2020-03-07,2.08665544247324,2.119583279583,2.15276531870563,"Si"
2020-03-08,1.94028270989879,1.96988627020209,1.99971085468673,"Si"
2020-03-09,1.92551262379554,1.95317073135668,1.98102333446624,"Si"
2020-03-10,2.01192115770733,2.0385065944892,2.06526411427716,"Si"
2020-03-11,1.93067749997939,1.95512927978745,1.97973279681206,"Si"
2020-03-12,1.84100600481247,1.86347461696241,1.88607762267294,"Si"
2020-03-13,1.77327809434277,1.79410752388657,1.81505689201766,"Si"
2020-03-14,1.66516093101251,1.68429880232655,1.7035445105072,"Si"
2020-03-15,1.60881170925973,1.62673898489936,1.64476421763042,"Si"
2020-03-16,1.50982054332908,1.52643801150537,1.54314517024442,"Si"
2020-03-17,1.33474687092187,1.34977439995641,1.36488488800002,"Si"
