"Data","R.lowerCI","R.medio","R.upperCI","Consolidato"
2020-02-07,0.576839262320348,1.57184459173505,3.05680077890866,"Si"
2020-02-08,0.146244406729782,0.709153045616346,1.7078030877311,"Si"
2020-02-09,0.144042051787094,0.698473616911621,1.68208457544398,"Si"
2020-02-10,0.0578164044510418,0.477408667402039,1.32997542325376,"Si"
2020-02-11,0.061684656836251,0.509350072854903,1.41895848354813,"Si"
2020-02-12,0.00702592976821445,0.277509402574431,1.02369873348025,"Si"
2020-02-13,0.00792324659572215,0.312951524106615,1.15444044741054,"Si"
2020-02-14,0.00912341609933196,0.360355687387834,1.32930869137808,"Si"
2020-02-15,0.0106538182041485,0.420803341693694,1.55229280139635,"Si"
2020-02-16,0.0125594205151966,0.496070612550261,1.82994469042637,"Si"
2020-02-17,0.142508163255353,1.17673578908321,3.27817609106336,"Si"
2020-02-18,0.161207834382484,1.3311449945401,3.70833260560538,"Si"
2020-02-19,0.449665210308165,2.18046939728062,5.25107012146094,"Si"
2020-02-20,0.795953750361102,2.9212920040306,6.40294117894777,"Si"
2020-02-21,1.08574277566227,3.34386164944404,6.84929112021257,"Si"
2020-02-22,1.25728320560535,3.42600432408251,6.66262602643169,"Si"
2020-02-23,1.32300557180975,3.29063409131487,6.13913577616299,"Si"
2020-02-24,0.843737501508848,2.29912267631708,4.47115447972813,"Si"
2020-02-25,1.35556151977051,2.96450732151273,5.19223220596151,"Si"
2020-02-26,1.32018654263689,2.75303343752227,4.70350351752529,"Si"
2020-02-27,1.59653287872096,2.99842095858747,4.83474276412827,"Si"
2020-02-28,1.45410024234568,2.6597320145277,4.22334969422521,"Si"
2020-02-29,1.69218104682773,2.85521446640037,4.31750411914549,"Si"
2020-03-01,2.12199752179134,3.27900248881531,4.68373995543018,"Si"
2020-03-02,2.65444684618799,3.78996778971092,5.12451307899464,"Si"
2020-03-03,2.52719890378368,3.49202927849027,4.6104368262104,"Si"
2020-03-04,2.6624144716471,3.52455963617779,4.50577563826453,"Si"
2020-03-05,2.87143800063865,3.65061210468981,4.5219024059255,"Si"
2020-03-06,2.76832608112054,3.43404640701748,4.17041923977188,"Si"
2020-03-07,2.61271221154018,3.17895234461584,3.7999011976162,"Si"
2020-03-08,2.59642736695534,3.09465652543003,3.63596743902375,"Si"
2020-03-09,2.73024901658275,3.18316550335378,3.67032869918437,"Si"
2020-03-10,3.01975056599135,3.44140387065202,3.89021182401703,"Si"
2020-03-11,2.81922204222886,3.17813650010922,3.55824404455754,"Si"
2020-03-12,2.69106351149494,3.0016817531758,3.32902028808798,"Si"
2020-03-13,2.50578079761953,2.7732171798581,3.05401834490084,"Si"
2020-03-14,2.30586494398085,2.53688637950114,2.77877853092626,"Si"
2020-03-15,2.12198590146065,2.32359711493672,2.534226678197,"Si"
2020-03-16,1.8838662983431,2.05850031227072,2.2407642287435,"Si"
2020-03-17,1.57838907339647,1.7272146246921,1.88264905928841,"Si"
2020-03-18,1.45051771034681,1.58526241464725,1.72590603334519,"Si"
2020-03-19,1.27029729937136,1.39072522953337,1.51652881711473,"Si"
2020-03-20,1.17816329195811,1.29010132641966,1.40704650473758,"Si"
2020-03-21,1.07708707324602,1.18126459119646,1.29018222639288,"Si"
2020-03-22,0.989141479757704,1.08705935899913,1.189532315935,"Si"
2020-03-23,0.950174509438563,1.04491188084513,1.14408661406743,"Si"
2020-03-24,0.956425713013663,1.05065855251682,1.14925532757873,"Si"
2020-03-25,0.899064167166407,0.98991580048884,1.08507753294403,"Si"
2020-03-26,0.902660571641086,0.993428242726865,1.08848190128608,"Si"
2020-03-27,0.837994188598433,0.925413662923715,1.01710803690515,"Si"
2020-03-28,0.809131740877624,0.895252505807981,0.985665860905822,"Si"
2020-03-29,0.80392166318475,0.890197195806005,0.980806902757147,"Si"
2020-03-30,0.772494450300365,0.857669765067759,0.947235276755748,"Si"
2020-03-31,0.729894640376057,0.813479039097093,0.901529109263341,"Si"
2020-04-01,0.726001714893475,0.810340851240707,0.899247560844204,"Si"
2020-04-02,0.674682171013097,0.757148546562525,0.844300979453076,"Si"
2020-04-03,0.698624629636089,0.783865837902619,0.873942660181989,"Si"
2020-04-04,0.684277041125694,0.770080055628329,0.860877616516211,"Si"
2020-04-05,0.64894395482166,0.734051412241114,0.824326697725245,"Si"
2020-04-06,0.59950955505098,0.683028608484057,0.77191479273761,"Si"
2020-04-07,0.582000150610952,0.666212881968753,0.756032755812611,"Si"
2020-04-08,0.552748633052879,0.636963235413258,0.727061639106297,"Si"
2020-04-09,0.564523041207752,0.651963866901578,0.745608571829872,"Si"
2020-04-10,0.544709122996961,0.633118895243866,0.728079753391782,"Si"
2020-04-11,0.529172043430592,0.618977086938038,0.715717231253452,"Si"
2020-04-12,0.486362151708578,0.575315136232276,0.671628202655927,"Si"
2020-04-13,0.480679743301477,0.572154317511907,0.671478668050629,"Si"
2020-04-14,0.449345888531782,0.5410940301878,0.641238825596646,"Si"
2020-04-15,0.44807215622722,0.543198958138039,0.647346233413153,"Si"
2020-04-16,0.40822264207854,0.502831160976402,0.607152074151356,"Si"
2020-04-17,0.347199687103512,0.438544344119366,0.540395047060746,"Si"
2020-04-18,0.351747535019752,0.447963293143057,0.55563514603481,"Si"
2020-04-19,0.361609058637674,0.463869534071008,0.578670061032349,"Si"
2020-04-20,0.364368125609725,0.47211465771872,0.593604802966266,"Si"
2020-04-21,0.357682622485024,0.469864493430425,0.597113750974399,"Si"
2020-04-22,0.354418691901947,0.471784041104153,0.605677268708845,"Si"
2020-04-23,0.314685303729934,0.431426300109116,0.56629923375016,"Si"
2020-04-24,0.328555960784457,0.453991584502534,0.599393462383861,"Si"
2020-04-25,0.332332693143502,0.465181793242479,0.620020854353667,"Si"
2020-04-26,0.344284689388343,0.48651177738437,0.652945230532873,"Si"
2020-04-27,0.342955410303056,0.492372390155396,0.668382747428667,"Si"
2020-04-28,0.415062919450739,0.586529128051205,0.787178059262214,"Si"
2020-04-29,0.36755991427051,0.537368877295081,0.738916220105947,"Si"
2020-04-30,0.369565470242591,0.547751253011327,0.760440096448362,"Si"
2020-05-01,0.352705055283273,0.535207409479417,0.755158309666475,"Si"
2020-05-02,0.330990466877448,0.516592351060791,0.742844580612057,"Si"
2020-05-03,0.304322965850815,0.491623937469986,0.723117426979704,"Si"
2020-05-04,0.331979040019361,0.536301433431194,0.788832445027085,"Si"
2020-05-05,0.192494468203811,0.361520552171061,0.582926446230584,"Si"
2020-05-06,0.126320680485625,0.276253476287452,0.483848424383922,"Si"
2020-05-07,0.164882385707613,0.343835288765211,0.587435832821559,"Si"
2020-05-08,0.15909480643925,0.347927933646016,0.609383761450335,"Si"
2020-05-09,0.179405523818045,0.392345888490889,0.68718027556075,"Si"
2020-05-10,0.202055492786022,0.44187960411965,0.77393686803135,"Si"
2020-05-11,0.154968365585396,0.385443718255167,0.719098889385194,"Si"
2020-05-12,0.174263492993561,0.433435355931126,0.808633967317669,"Si"
2020-05-13,0.239966814319174,0.55582738717799,1.00206474530143,"Si"
2020-05-14,0.266372819341785,0.616990764368992,1.11233218695782,"Si"
2020-05-15,0.238369745418963,0.592883074211638,1.10610587229399,"Si"
2020-05-16,0.260721760128997,0.648477928218032,1.20982580824859,"Si"
2020-05-17,0.28323324603858,0.704469425577258,1.31428573756927,"Si"
2020-05-18,0.305232791850418,0.759187604384965,1.41637011395481,"Si"
2020-05-19,0.400252049692357,0.92709090473333,1.67139139371947,"Si"
2020-05-20,0.342402667104594,0.85163805303576,1.58884929002984,"Si"
2020-05-21,0.206696176731713,0.636581181061322,1.30392052298655,"Si"
2020-05-22,0.297715809062752,0.811253697376496,1.57766292359455,"Si"
2020-05-23,0.314270107075178,0.856362942707914,1.66538786599032,"Si"
2020-05-24,0.243220109731602,0.749067288805116,1.53432781242836,"Si"
2020-05-25,0.172378971156761,0.632661520691135,1.3866790781544,"Si"
2020-05-26,0.104598347262761,0.507207340003638,1.22147153810112,"Si"
2020-05-27,0.11377446644554,0.551703215168494,1.32862780495716,"Si"
2020-05-28,0.327134204890775,1.00750522727484,2.06369082521361,"Si"
2020-05-29,0.471516140221568,1.28484682533877,2.49866990485272,"Si"
2020-05-30,0.356397728760563,1.09763078683575,2.24829660724629,"Si"
2020-05-31,0.493465306425992,1.34465668996681,2.6149834652026,"Si"
2020-06-01,0.492940395032487,1.34322634500087,2.61220184186082,"Si"
2020-06-02,0.48734743235481,1.32798593279085,2.58256347674545,"Si"
2020-06-03,0.479643906188951,1.30699439020343,2.54174076178424,"Si"
